question_text,question_type,subject,difficulty,points,correct_answer,option_a,option_b,option_c,option_d,option_e
"Jika $f(x) = 2x + 3$ dan $g(x) = x^2 - 1$, maka nilai dari $(f \circ g)(2)$ adalah...",multiple_choice,Matematika,hard,4,C,5,7,9,11,13
"Diketahui barisan geometri dengan suku pertama 3 dan rasio 2. Jumlah 10 suku pertama adalah...",multiple_choice,Matematika,hard,4,D,1533,2046,2559,3069,3582
"Nilai x yang memenuhi persamaan $\log_2(x+3) + \log_2(x-3) = 4$ adalah...",multiple_choice,Matematika,hard,4,B,3,5,7,9,11
"Luas daerah yang dibatasi oleh kurva $y = x^2$ dan $y = 2x + 3$ adalah...",multiple_choice,Matematika,hard,4,C,10⅔,18⅔,32/3,36/3,42/3
"Banyaknya cara menyusun 5 orang dari 10 orang untuk duduk melingkar adalah...",multiple_choice,Matematika,hard,4,D,15120,20160,25200,30240,35280
"Jika $\sin x + \cos x = \frac{3}{2}$, maka nilai $\sin x \cdot \cos x$ adalah...",multiple_choice,Matematika,hard,4,A,5/8,7/8,9/8,11/8,13/8
"Diketahui matriks $A = \begin{pmatrix} 2 & 3 \\ 1 & 4 \end{pmatrix}$. Determinan dari $A^2$ adalah...",multiple_choice,Matematika,hard,4,C,5,10,25,50,125
"Nilai limit $\lim_{x \to 0} \frac{\sin 3x}{2x}$ adalah...",multiple_choice,Matematika,hard,4,B,1,3/2,2,5/2,3
"Jika $^nC_3 = 220$, maka nilai n adalah...",multiple_choice,Matematika,hard,4,D,10,11,12,13,14
"Turunan pertama dari $f(x) = \ln(x^2 + 1)$ adalah...",multiple_choice,Matematika,hard,4,A,2x/(x²+1),x/(x²+1),2/(x²+1),1/(x²+1),x²/(x²+1)
"Dalam suatu segitiga ABC diketahui a=8 cm, b=10 cm dan sudut C=60°. Panjang sisi c adalah...",multiple_choice,Matematika,hard,4,C,6,7,2√31,9,10
"Banyaknya bilangan bulat antara 100 dan 999 yang habis dibagi 7 adalah...",multiple_choice,Matematika,hard,4,B,127,128,129,130,131
"Jika $x + \frac{1}{x} = 5$, maka nilai $x^2 + \frac{1}{x^2}$ adalah...",multiple_choice,Matematika,hard,4,D,19,21,22,23,25
"Nilai dari $\sum_{k=1}^{100} k$ adalah...",multiple_choice,Matematika,hard,4,C,4950,5000,5050,5100,5150
"Jika $f(x) = x^3 - 3x^2 + 2$, maka nilai maksimum lokal f(x) adalah...",multiple_choice,Matematika,hard,4,A,2,-2,4,6,8
"Persamaan garis singgung kurva $y = x^2 - 4x + 3$ di titik (2,-1) adalah...",multiple_choice,Matematika,hard,4,B,y=x-3,y=-1,y=2x-5,y=-x+1,y=x+1
"Banyaknya solusi bilangan bulat positif dari $x + y + z = 10$ adalah...",multiple_choice,Matematika,hard,4,D,30,36,40,45,55
"Jika $\sqrt{x+\sqrt{x+\sqrt{x+...}}} = 5$, maka nilai x adalah...",multiple_choice,Matematika,hard,4,C,15,18,20,25,30
"Nilai dari $\int_0^{\pi/2} \sin^2 x \, dx$ adalah...",multiple_choice,Matematika,hard,4,B,π/6,π/4,π/3,π/2,π
"Koefisien $x^3$ dalam ekspansi $(2x - 1)^5$ adalah...",multiple_choice,Matematika,hard,4,A,-40,-30,-20,-10,0
"Jika matriks $P = \begin{pmatrix} 1 & 2 \\ 3 & 4 \end{pmatrix}$ dan $Q = \begin{pmatrix} 2 & 0 \\ 1 & 3 \end{pmatrix}$, maka det(PQ) = ...",multiple_choice,Matematika,hard,4,C,-12,-6,12,24,36
"Banyaknya bilangan 4 digit yang dapat dibentuk dari angka 1,2,3,4,5,6 tanpa pengulangan adalah...",multiple_choice,Matematika,hard,4,D,120,240,300,360,720
"Nilai x yang memenuhi $2^{x+1} = 3^{x-1}$ (dalam bentuk logaritma) adalah...",multiple_choice,Matematika,hard,4,B,log 2 - log 3,( log 2 + log 3)/(log 3 - log 2),(log 3 - log 2)/(log 2 + log 3),2 log 3 - log 2,log 6
"Diketahui $P(A) = 0.6$, $P(B) = 0.5$ dan $P(A \cap B) = 0.3$. Nilai $P(A \cup B)$ adalah...",multiple_choice,Matematika,hard,4,D,0.6,0.7,0.75,0.8,0.9
"Jika vektor $\vec{a} = (3,4)$ dan $\vec{b} = (-1,2)$, maka $\vec{a} \cdot \vec{b}$ adalah...",multiple_choice,Matematika,hard,4,C,-5,3,5,8,11
"Nilai dari $^{10}C_3 + ^{10}C_4$ adalah...",multiple_choice,Matematika,hard,4,A,330,360,390,420,450
"Akar-akar persamaan $x^2 - 5x + 6 = 0$ adalah p dan q. Nilai $p^2 + q^2$ adalah...",multiple_choice,Matematika,hard,4,B,11,13,17,19,25
"Jika $\tan A = 2$, maka nilai $\sin 2A$ adalah...",multiple_choice,Matematika,hard,4,D,2/5,3/5,3/4,4/5,1
"Suku ke-n dari barisan 2, 6, 12, 20, 30, ... adalah...",multiple_choice,Matematika,hard,4,A,n(n+1),n(n-1),n²+1,n²-1,2n²
"Jika $f(x) = e^{2x}$, maka $f'(0)$ adalah...",multiple_choice,Matematika,hard,4,C,0,1,2,e,2e
"Nilai minimum dari fungsi $f(x) = x^2 - 6x + 10$ adalah...",multiple_choice,Matematika,hard,4,B,0,1,2,3,4
"Banyaknya diagonal ruang pada kubus adalah...",multiple_choice,Matematika,hard,4,D,2,3,4,4,6
"Jika $\log 2 = 0.301$ dan $\log 3 = 0.477$, maka nilai $\log 12$ adalah...",multiple_choice,Matematika,hard,4,A,1.079,1.179,1.279,1.379,1.479
"Persamaan lingkaran dengan pusat (3,-2) dan jari-jari 5 adalah...",multiple_choice,Matematika,hard,4,C,(x+3)²+(y-2)²=25,(x-3)²+(y-2)²=25,(x-3)²+(y+2)²=25,(x+3)²+(y+2)²=25,x²+y²=25
"Nilai dari $\lim_{x \to 2} \frac{x^2-4}{x-2}$ adalah...",multiple_choice,Matematika,hard,4,D,0,2,3,4,∞
